step,observation,action,reward,terminated,truncated
0,"[0.9998703461879423, 0.9993476554324658, 0.01610250955609871, 0.036114589595252974, 0.12918419034689532, -0.11875079075649216, -0.0037649744641935702, 0.04136054365920185, 0.08065286579858036, 0.12610323384071556]","[0.0, 0.01]",-0.1497893795384629,False,False
1,"[0.9998709094638228, 0.9993029917399333, 0.016067495386272133, 0.03733002410418182, 0.12918419034689532, -0.11875079075649216, 0.00024978959339306194, 0.08013572853053652, 0.08064606270878028, 0.126229484104034]","[0.001, 0.01]",-0.149893089536127,False,False
2,"[0.9998695534858149, 0.9992269606594648, 0.01615165663568759, 0.03931260728123212, 0.12918419034689532, -0.11875079075649216, 0.008141204736568052, 0.11814170306956995, 0.08063354786385374, 0.1264650635180801]","[0.002, 0.01]",-0.15008793691240546,False,False
3,"[0.9998649897449887, 0.9991156365028642, 0.016431746171770477, 0.04204693681442971, 0.12918419034689532, -0.11875079075649216, 0.019832591218636647, 0.15539372670647575, 0.08061419254048774, 0.12682437020761167]","[0.003, 0.01]",-0.1503856412903621,False,False
4,"[0.9998557785274447, 0.9989635266606197, 0.016982995768634344, 0.04551782509937464, 0.12918419034689532, -0.11875079075649216, 0.03524878664316412, 0.19190675620788106, 0.08058649592859668, 0.127321491958692]","[0.004, 0.01]",-0.15079760352424246,False,False
5,"[0.9998401553487449, 0.9987636799807451, 0.01787914293800211, 0.049710276113895766, 0.12918419034689532, -0.11875079075649216, 0.05431611611874813, 0.22769545166453722, 0.08054850517573889, 0.12797020246305033]","[0.005, 0.01]",-0.15133490180699186,False,False
6,"[0.9998158078630682, 0.998507790195073, 0.019192455473969985, 0.054609458152890145, 0.12918419034689532, -0.11875079075649216, 0.07696236302460518, 0.2627741823514983, 0.08049772874536909, 0.12878395408981247]","[0.006, 0.01]",-0.1520082857014075,False,False
7,"[0.9997796068842034, 0.9981862947139045, 0.020993752843825274, 0.060200673130174215, 0.12918419034689532, -0.11875079075649216, 0.10311674037085483, 0.2971570324598792, 0.08043104379145571, 0.12977586633086435]","[0.007, 0.01]",-0.15282816782360797,False,False
8,"[0.9997272949836741, 0.9977884691096195, 0.0233524230996683, 0.06646932308878928, 0.12918419034689532, -0.11875079075649216, 0.1327098627380682, 0.33085780669982556, 0.08034459827186538, 0.13095870894996614]","[0.008, 0.01]",-0.15380461286427288,False,False
9,"[0.9996531359787328, 0.997302517605572, 0.026336433469341843, 0.07340087450151937, 0.12918419034689532, -0.11875079075649216, 0.1656737187812817, 0.36389003577483187, 0.08023370855912523, 0.13234487874878176]","[0.009000000000000001, 0.01]",-0.1549473235984508,False,False
10,"[0.9995495284949958, 0.9967156598790567, 0.030012332222465892, 0.08098082088900141, 0.12918419034689532, -0.11875079075649216, 0.20194164428426525, 0.39626698172799774, 0.08009275336223676, 0.13394636874784194]","[0.01, 0.01]",-0.15626562351099915,False,False
11,"[0.999406586692003, 0.9960142144769258, 0.0344452388094494, 0.08919464423334163, 0.12918419034689532, -0.11875079075649216, 0.24144829575038065, 0.4280016431612208, 0.07991506484978306, 0.13577472846992547]","[0.011, 0.01]",-0.15776843565360568,False,False
12,"[0.9992116911835589, 0.9951836791301154, 0.03969881864856956, 0.09802777562021595, 0.12918419034689532, -0.11875079075649216, 0.2841296245168746, 0.4591067603286946, 0.07969281796538391, 0.13784101391050937]","[0.012, 0.01]",-0.15946425735169834,False,False
13,"[0.9989490131784188, 0.9942088082393564, 0.04583523829831418, 0.10746555550165182, 0.12918419034689532, -0.11875079075649216, 0.32992285137992433, 0.4895948201064122, 0.07941691905435799, 0.14015572568826534]","[0.013000000000000001, 0.01]",-0.16136113039528258,False,False
14,"[0.998599014922316, 0.993073687789089, 0.05291509610857954, 0.11749319393470868, 0.12918419034689532, -0.11875079075649216, 0.37876644171819496, 0.5194780608396798, 0.07907689507794555, 0.14272873379200895]","[0.014, 0.01]",-0.16346660637577642,False,False
15,"[0.998137929652358, 0.9917618079304165, 0.06099732280440133, 0.12809573111775355, 0.12918419034689532, -0.11875079075649216, 0.4306000811030828, 0.5487684770709189, 0.07866078488111619, 0.14556918728355378]","[0.015, 0.01]",-0.1657877068692749,False,False
16,"[0.9975372244934705, 0.9902561334571052, 0.07013904582943349, 0.1392579985156468, 0.12918419034689532, -0.11875079075649216, 0.48536465138420515, 0.5774778241502849, 0.07815503420407244, 0.14868540728377863]","[0.016, 0.01]",-0.16833087821273413,False,False
17,"[0.9967630500487921, 0.9885391723814111, 0.08039541067392564, 0.1509645808376081, 0.12918419034689532, -0.11875079075649216, 0.543002207239062, 0.6056176227318623, 0.07754439638778635, 0.1520847615678488]","[0.017, 0.01]",-0.17110194067028298,False,False
18,"[0.9957756808773313, 0.9865930427990943, 0.0918193518452796, 0.1631997791065429, 0.12918419034689532, -0.11875079075649216, 0.6034559531761409, 0.6331991631584, 0.07681184102142646, 0.15577351913176096]","[0.018000000000000002, 0.01]",-0.1741060318392032,False,False
19,"[0.99452895162874, 0.9843995382155466, 0.1044613056219356, 0.17594757503591413, 0.12918419034689532, -0.11875079075649216, 0.6666702209810601, 0.6602335097377497, 0.07593847311460769, 0.1597566831739572]","[0.019, 0.01]",-0.17734754419633544,False,False
20,"[0.9929696943326908, 0.9819401914876466, 0.11836885627918646, 0.1891915969095984, 0.12918419034689532, -0.11875079075649216, 0.7325904475956565, 0.6867315049143379, 0.07490346574924711, 0.1640378010713962]","[0.02, 0.01]",-0.18083005673372254,False,False
21,"[0.9910371832345392, 0.9791963375188957, 0.13358630710724193, 0.20291508714134804, 0.12918419034689532, -0.11875079075649216, 0.8011631534202199, 0.7127037733391716, 0.07368400957225774, 0.1686187501288932]","[0.021, 0.01]",-0.1845562606760502,False,False
22,"[0.9886625946441834, 0.9761491748286729, 0.15015416727960346, 0.21710087167328676, 0.12918419034689532, -0.11875079075649216, 0.8723359210293574, 0.7381607258420203, 0.07225528292753569, 0.17349949815441268]","[0.022, 0.01]",-0.18852787931180753,False,False
23,"[0.9857684905341438, 0.9727798261001628, 0.16810854549973234, 0.23173133135710652, 0.12918419034689532, -0.11875079075649216, 0.9460573742922445, 0.7631125633095556, 0.07059044688782468, 0.17867783827288605]","[0.023, 0.01]",-0.19274558200606842,False,False
24,"[0.9822683360962963, 0.9690693977957209, 0.18748044138686434, 0.24678837544714052, 0.12918419034689532, -0.11875079075649216, 1.0222771578882803, 0.7875692804733494, 0.06866066992580189, 0.18414909784931494]","[0.024, 0.01]",-0.19720889249735396,False,False
25,"[0.9780660631514969, 0.9649990389132018, 0.20829492579352957, 0.2622534173211033, 0.12918419034689532, -0.11875079075649216, 1.1009459172094185, 0.8115406696117484, 0.06643518744802471, 0.1899058219612198]","[0.025, 0.01]",-0.2019160916169518,False,False
26,"[0.9730556932052277, 0.9605499989421218, 0.23057020171933298, 0.2781073525318773, 0.12918419034689532, -0.11875079075649216, 1.1820152786406906, 0.8350363241697358, 0.06388140189084801, 0.19593743255388393]","[0.026000000000000002, 0.01]",-0.20686411460961998,False,False
27,"[0.967121036052348, 0.955703685064505, 0.2543165382452211, 0.2943305392821572, 0.12918419034689532, -0.11875079075649216, 1.2654378302106781, 0.8580656423009839, 0.06096502952600363, 0.20222986524204617]","[0.027, 0.01]",-0.2120484432833366,False,False
28,"[0.9601354821448915, 0.9504417186318802, 0.2795350710132749, 0.31090278140292965, 0.12918419034689532, -0.11875079075649216, 1.3511671026039234, 0.8806378303363742, 0.057650300523020614, 0.20876518670059369]","[0.028, 0.01]",-0.21746299327619087,False,False
29,"[0.9519619094295287, 0.9447459909371807, 0.30621646427859767, 0.3278033139065628, 0.12918419034689532, -0.11875079075649216, 1.4391575505274954, 0.9027619061833284, 0.05390021913930293, 0.21552119672470482]","[0.029, 0.01]",-0.22309999680389672,False,False
30,"[0.9424527280059745, 0.9385987182882655, 0.3343394315274474, 0.3450107911756173, 0.12918419034689532, -0.11875079075649216, 1.529364534424157, 0.9244467026603417, 0.049676891124819655, 0.22247102034462474]","[0.03, 0.01]",-0.22894988134457456,False,False
31,"[0.9314500887114125, 0.9319824963784274, 0.3638691141598881, 0.36250327783929703, 0.12918419034689532, -0.11875079075649216, 1.621744302524789, 0.9457008707711523, 0.04494192550018719, 0.2295826968561019]","[0.031, 0.01]",-0.23500114483064927,False,False
32,"[0.9187862845407806, 0.9248803539385944, 0.3947553208504576, 0.38025824238064915, 0.12918419034689532, -0.11875079075649216, 1.7162539732329518, 0.9665328829230031, 0.03965691775238178, 0.23681877427389725]","[0.032, 0.01]",-0.24124022805260426,False,False
33,"[0.9042843765924581, 0.9172758056459563, 0.42693063400368625, 0.3982525535091542, 0.12918419034689532, -0.11875079075649216, 1.812851517834678, 0.9869510360934672, 0.033784021144143334, 0.24413591952582292]","[0.033, 0.01]",-0.24765138513693527,False,False
34,"[0.8877590788869213, 0.9091529042544741, 0.46030839429000747, 0.4164624793251548, 0.12918419034689532, -0.11875079075649216, 1.9114957435267912, 1.0069634549503035, 0.027286612199241944, 0.2514845566635906]","[0.034, 0.01]",-0.25421655314138314,False,False
35,"[0.8690179388223814, 0.9004962919041241, 0.4947805796561741, 0.434863689294614, 0.12918419034689532, -0.11875079075649216, 2.0121462767572607, 1.026578094928793, 0.02013005544988264, 0.2588085474496342]","[0.035, 0.01]",-0.26091522201424483,False,False
36,"[0.8478628520604444, 0.8912912505578228, 0.5302156015206729, 0.4534312590449323, 0.12918419034689532, -0.11875079075649216, 2.114763546871307, 1.0458027452709784, 0.01228257115525111, 0.2660449308494708]","[0.036000000000000004, 0.01]",-0.26772430639059663,False,False
37,"[0.8240919521021693, 0.8815237515077313, 0.56645604814534, 0.47213967798495354, 0.12918419034689532, -0.11875079075649216, 2.2193087700571636, 1.064645032031172, 0.003716207860609888, 0.27312374016660823]","[0.037, 0.01]",-0.27461802094545423,False,False
38,"[0.7975019155157773, 0.8711805038860667, 0.6033164134586975, 0.4909628597448272, 0.12918419034689532, -0.11875079075649216, 2.3257439335856174, 1.0831124210520515, -0.005592080695903584, 0.27996791873502846]","[0.038, 0.01]",-0.2815677612905965,False,False
39,"[0.7678907234749803, 0.8602490021096313, 0.640580858909374, 0.5098741554240455, 0.12918419034689532, -0.11875079075649216, 2.4340317803376283, 1.1012122209155628, -0.015659257763499468, 0.28649335714837443]","[0.039, 0.01]",-0.2885419926858781,False,False
40,"[0.7350609186923264, 0.8487175721820086, 0.6780010662316049, 0.5288463696287203, 0.12918419034689532, -0.11875079075649216, 2.544135793614534, 1.118951585872773, -0.026494931852216477, 0.29260907685086074]","[0.04, 0.01]",-0.2955061491347084,False,False
41,"[0.698823393684208, 0.8365754167727525, 0.7152942502492847, 0.5478517792719994, 0.12918419034689532, -0.11875079075649216, 2.656020182225532, 1.1363375187566902, -0.038100002345792874, 0.29821758641713525]","[0.041, 0.01]",-0.30242254574378263,False,False
42,"[0.6590017412531549, 0.8238126589889057, 0.7521414129173515, 0.5668621551044213, 0.12918419034689532, -0.11875079075649216, 2.769649865847321, 1.1533768738819468, -0.050465238630593504, 0.3032154378594214]","[0.042, 0.01]",-0.3092503075452831,False,False
43,"[0.6154371907638421, 0.8104203847508192, 0.7881859325214516, 0.5858487859339935, 0.12918419034689532, -0.11875079075649216, 2.88499046065097, 1.1700763599350896, -0.06356981453816593, 0.3074940106509575]","[0.043000000000000003, 0.01]",-0.31594531830107175,False,False
44,"[0.5679941438495643, 0.7963906836814948, 0.8230325950730023, 0.604782505488809, 0.12918419034689532, -0.11875079075649216, 3.0020082651912543, 1.1864425428590653, -0.07737982618064984, 0.3109405506550835]","[0.044, 0.01]",-0.32246019312753854,False,False
45,"[0.5165663102363081, 0.7817166884165254, 0.8562471880998187, 0.6236337218681339, 0.12918419034689532, -0.11875079075649216, 3.120670246553897, 1.2024818487353008, -0.09184682813409334, 0.3134394895913936]","[0.045, 0.01]",-0.3287442790905139,False,False
46,"[0.4610834280397416, 0.7663926122401579, 0.8873567897903979, 0.6423724495210758, 0.12918419034689532, -0.11875079075649216, 3.240944026756306, 1.218200566666589, -0.10690643028322183, 0.3148740678328224]","[0.046, 0.01]",-0.3347436882148165,False,False
47,"[0.40151853282990374, 0.7504137849520398, 0.9158508982329611, 0.6609683436851977, 0.12918419034689532, -0.11875079075649216, 3.362797869397587, 1.233604851663772, -0.12247700531760491, 0.3151282789822179]","[0.047, 0.01]",-0.34040136762438633,False,False
48,"[0.3378957156718663, 0.7337766868688202, 0.9411835555993301, 0.6793907372107875, 0.12918419034689532, -0.11875079075649216, 3.4862006665537635, 1.2487007275389914, -0.1384585646374427, 0.3140891485981154]","[0.048, 0.01]",-0.34565721176727526,False,False
